employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#5 - H PRESSROOM",0110678895,"2026-01-06 06:38:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0953151488,"2026-01-06 06:41:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110661370,"2026-01-06 06:41:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110676337,"2026-01-06 06:42:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0299994904,"2026-01-06 06:42:00",2026-01-06,device,,,
,"#6 - H DIE",0110657886,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#6 - H DIE",0110657886,"2026-01-05 11:26:00",2026-01-05,device,,,
,"#6 - H DIE",0110657886,"2026-01-05 14:27:00",2026-01-05,device,,,
,"#6 - H DIE",0110661776,"2026-01-05 14:28:00",2026-01-05,device,,,
,"#6 - H DIE",0608478978,"2026-01-05 14:46:00",2026-01-05,device,,,
,"#6 - H DIE",0110656691,"2026-01-05 15:29:00",2026-01-05,device,,,
,"#6 - H DIE",0110661776,"2026-01-06 00:35:00",2026-01-06,device,,,
,"#6 - H DIE",0110657886,"2026-01-06 05:55:00",2026-01-06,device,,,
,"#6 - H DIE",0110656691,"2026-01-06 06:27:00",2026-01-06,device,,,
,"#6 - H DIE",0608478978,"2026-01-06 06:29:00",2026-01-06,device,,,
,"#7 - H  SOUTHPRESS",0110663558,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110656721,"2026-01-05 10:57:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0953160884,"2026-01-05 10:59:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110656721,"2026-01-05 11:28:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0953160884,"2026-01-05 11:29:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110663558,"2026-01-05 11:30:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110656721,"2026-01-05 14:52:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110663558,"2026-01-05 17:37:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0953160884,"2026-01-05 17:40:00",2026-01-05,device,,,
,"#7 - H  SOUTHPRESS",0110656721,"2026-01-06 05:55:00",2026-01-06,device,,,
,"#7 - H  SOUTHPRESS",0953160884,"2026-01-06 05:56:00",2026-01-06,device,,,
,"#7 - H  SOUTHPRESS",0110663558,"2026-01-06 05:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-06 10:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-06 10:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678888,"2026-01-06 10:57:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-06 10:58:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-06 10:59:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-06 11:00:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-06 11:00:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-06 11:01:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-06 11:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-06 11:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-06 11:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678888,"2026-01-06 11:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0360154196,"2026-01-06 11:28:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-06 11:29:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0812724624,"2026-01-06 11:29:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-06 11:29:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-06 11:30:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-06 11:31:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-06 11:31:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-06 11:31:00",2026-01-06,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-06 11:31:00",2026-01-06,device,,,
